subzone_n,pln_area_n,beach_area,business_2,educational_institution,utility,special_use,waterbody,port_/_airport,park,road,business_1_-_white,commercial,light_rapid_transit,transport_facilities,health_&_medical_care,business_1,residential,sports_&_recreation,commercial_&_residential,mass_rapid_transit,civic_&_community_institution,open_space,residential_with_commercial_at_1st_storey,cemetery,reserve_site,white,place_of_worship,business_2_-_white,hotel,residential_/_institution,business_park_-_white,business_park,agriculture,pri_classification
YEW TEE,CHOA CHU KANG,0,0,54384.1452368357,0,0,55741.6414571614,0,18371.4908617556,124139.13228586,0,7252.73241460656,0,0,0,0,630459.112480249,0,8499.98558518078,10203.5498356107,0,14161.2191433796,0,0,0,0,0,0,0,0,0,0,0,RESIDENTIAL
CLEMENTI CENTRAL,CLEMENTI,0,0,37165.1877237098,5625.97559041139,0,4253.2645243508,0,7912.07441180155,195570.194739942,0,3787.64964574444,0,0,3752.0282669995,0,297568.56346136,81730.2921278903,91842.2730537077,1535.90709079498,0,6738.39841655266,2285.01343229198,0,6201.0514738626,0,2075.2890901498,0,0,0,0,0,0,RESIDENTIAL
CLEMENTI NORTH,CLEMENTI,0,0,13445.8537062087,0,0,58693.9119645954,0,24059.363085924,160779.022478605,0,0,0,1597.87199067512,2456.1944744665,0,661847.384077339,0,35585.3284462069,1348.97710451636,17023.8075683031,3159.58199355484,0,0,0.00570676002639323,0,11060.6310345229,0,0,0,0,0,0,RESIDENTIAL
CLEMENTI WEST,CLEMENTI,0,0,67782.9615700247,7068.96563788413,0,17240.8017781055,0,8128.91964711315,131651.664301277,0,0,0,2259.26830910856,4122.57317269185,0,380953.945485803,0,34857.0908382642,0,4309.50424244839,18013.3299993232,0,0,15281.5433990773,0,5828.59810516063,0,0,0,0,0,0,RESIDENTIAL
CLEMENTI WOODS,CLEMENTI,0,0,139877.42845582,1218.01562558894,0,12283.8869143233,0,141017.381186481,198663.692493783,0,0,0,0,0,0,499094.151940538,0,16580.5857082276,0,0,23997.0055632297,0,0,11704.0368094872,0,9111.9111131667,0,0,0,0,0,0,RESIDENTIAL
FABER,CLEMENTI,0,0,19050.2054005465,2158.79145998123,0,110601.490622696,0,27882.1158732395,206671.202630331,0,0,0,0,0,0,406196.022953768,0,0,0,0,0,0,0,175599.081731338,0,0,0,0,0,0,0,0,RESIDENTIAL
PANDAN,CLEMENTI,0,908654.878144708,0,4710.09964326016,0,250154.164326275,0,0,147317.761048933,0,0,0,2085.77803655118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
SUNSET WAY,CLEMENTI,0,0,0,0,728.787271352247,51551.4070692991,0,27333.7655741494,116449.252515348,0,0,0,0,0,0,695963.788957701,0,23694.0236039464,0,0,0,0,0,48958.1603862626,0,0,0,0,0,0,0,0,RESIDENTIAL
TOH TUCK,CLEMENTI,0,573021.970940611,0,502655.492964523,173624.269310943,83046.2250663144,0,0,256790.667561803,0,0,0,388870.515238881,0,73052.9642696234,0,0,0,0,26734.4445145607,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
WEST COAST,CLEMENTI,0,0,52809.4393067284,963.842336247168,0,30267.6742300318,0,22967.5684202896,173768.511144383,0,0,0,0,0,0,404953.815639231,0,0.00912815301569724,0,0,11536.2512416309,17824.6730347407,0,3413.80133401871,0,4083.09788681039,0,0,0,0,0,0,RESIDENTIAL
ANSON,DOWNTOWN CORE,0,0,0,0,0,0,0,0,45991.3754303276,0,38644.1281529158,0,0,0,0,0,0,0,0,0,0,3016.75003191472,0,3.95177527450071e-06,0,0,0,15586.2282353197,0,0,0,0,ROAD
BAYFRONT SUBZONE,DOWNTOWN CORE,0,0,0,5059.59927984254,0,178177.955067051,0,0,94811.757856548,0,0,0,0,0,0,0,0,0,0,6087.96359690909,50847.4716888626,0,0,0,186215.68459619,0,0,0,0,0,0,0,WHITE
BUGIS,DOWNTOWN CORE,0,0,0,0,0,0,0,0,94562.9527132831,0,60648.6735776786,0,0,8058.60066535353,0,0,0,56619.5336362876,0,11572.0242598026,5534.18733882084,0,0,9927.39131896467,31777.7130289263,0,0,1472.80264565694,0,0,0,0,ROAD
CECIL,DOWNTOWN CORE,0,0,0,0,0,0,0,0,79224.8080646462,0,85534.5464860288,0,0,0,0,0,0,6062.18828246113,0,13446.2567713518,1779.89137510651,8192.32658389766,0,0,0,519.919896187738,0,1859.92730118154,0,0,0,0,COMMERCIAL
CENTRAL SUBZONE,DOWNTOWN CORE,0,0,0,0,0,32905.2789951697,0,71636.3237127911,331872.623007277,0,0,0,0,0,0,0,0,0,0,8616.94008980805,23928.8397550592,0,0,255494.726432514,346268.747388543,0,0,0,0,0,0,0,WHITE
CITY HALL,DOWNTOWN CORE,0,0,0,11224.730462021,0,37616.7777240102,0,46573.4557938532,195079.301233058,0,164681.236383942,0,0,0,0,0,9182.30420331945,0,0,77990.5095406849,86802.6341300678,0,0,0,0,4115.43716934556,0,77302.2522730765,0,0,0,0,ROAD
CLIFFORD PIER,DOWNTOWN CORE,0,0,0,0,0,174140.144532374,0,831.049827727149,31033.8484647636,0,16518.9824704006,0,0,0,0,0,0,0,0,0,16833.175581275,0,0,0,3676.68966090581,0,0,18809.9850255706,0,0,0,0,WATERBODY
MARINA CENTRE,DOWNTOWN CORE,0,0,0,0,0,64683.2134814823,0,54830.7590303121,273110.319950553,0,149537.429764828,0,0,0,0,0,0,0,0,42868.566297693,30907.4544310765,0,0,89335.1692076862,8770.62434397931,0,0,172429.930149326,0,0,0,0,ROAD
MAXWELL,DOWNTOWN CORE,0,0,0,1556.98548373669,0,0,0,0.000389994617980208,17396.2426239939,0,36250.8221745704,0,0,0,0,0,0,0,0,0,0,8460.91555002057,0,0,0,0.000544345111875645,0,0,0,0,0,0,COMMERCIAL
PHILLIP,DOWNTOWN CORE,0,0,0,4187.85810764612,0,0,0,0,15940.1264130389,0,16465.3726738135,0,0,0,0,0,0,0,0,0,1392.19301470117,0,0,0,0,1452.38506113064,0,0,0,0,0,0,COMMERCIAL
RAFFLES PLACE,DOWNTOWN CORE,0,0,0,0,0,9775.83545577652,0,10952.0498875313,60621.1002366671,0,92741.7206600214,0,6538.63488185705,0,0,0,0,0,0,0,5062.73228602207,0,0,0,3075.4162979991,0,0,0,0,0,0,0,COMMERCIAL
TANJONG PAGAR,DOWNTOWN CORE,0,0,0,2139.85321272945,0,0,0,5848.93881092828,47685.3514298281,0,53512.2522262087,0,0,0,0,0,0,0,0,0,0,21309.5899198055,0,0,15022.6392490761,0,0,0,0,0,0,0,COMMERCIAL
ALJUNIED,GEYLANG,0,0,178825.086485777,16012.3302057276,0,53107.4495037269,0,27398.6810403921,709962.707213871,0,121004.494216621,0,9925.86628065506,12493.9015565484,201774.972042879,973541.82837585,36237.2560447206,9294.97204591987,6725.96266422999,27695.159843067,6592.48384950694,29390.988908118,0,104136.718884924,0,18769.9692814634,0,0,416473.622127386,0,0,0,RESIDENTIAL
GEYLANG EAST,GEYLANG,0,0,62159.1534644641,4390.34197821463,26461.0699800681,15361.5501406801,0,33010.1600840221,578936.510301466,0,260988.547739624,0,4834.48002397293,0,0,1070320.53430326,0,65335.1583216528,14809.2688881179,34512.0467149634,11310.477773648,24227.4301496955,0,348484.427243818,0,18526.1093507254,0,5416.38489324111,0,0,0,0,RESIDENTIAL
KALLANG WAY,GEYLANG,0,318823.978988453,0,0,0,15632.76698391,0,1136.86757278614,242372.772767924,0,0,0,4608.5215587885,0,380622.151393812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 1
KAMPONG UBI,GEYLANG,0,0,40538.1791439943,34346.8287717545,0,32447.678111951,0,3930.89963287445,406266.076777211,0,0,0,7733.37296991255,0,993039.604980477,277010.599462743,0,0,0,47871.7960702374,5773.78061082035,15349.6910299676,0,4037.54718017239,0,9745.06423215867,0,0,0,0,0,0,BUSINESS 1
MACPHERSON,GEYLANG,0,0,114221.141701136,0,0,58075.3842915098,0,34292.1714780902,218301.472544881,0,10747.3412400205,0,3017.55225898936,4003.66344039965,0,764523.580434635,0,0,0,14428.5252677083,10146.0256050566,20138.0163808398,0,0,0,11506.1311043967,0,0,0,0,0,0,RESIDENTIAL
DEFU INDUSTRIAL PARK,HOUGANG,0,1181225.49895613,0,7723.63734279105,0,31077.7818894617,0,7559.01278477121,468337.224643595,0,8666.07032057063,0,5827.12259449837,0,163322.891071207,0,0,0,0,24180.8685874161,0,0,0,75494.6331026392,0,952.764243915833,0,0,0,0,0,0,BUSINESS 2
HOUGANG CENTRAL,HOUGANG,0,0,0,0,0,0,0,11127.5265141842,107433.171264885,0,29451.9875576732,0,0,5037.08807419935,0,220482.335347473,0,44698.0270987198,0,0,0,0,0,23503.3029481821,0,0,0,0,0,0,0,0,RESIDENTIAL
HOUGANG EAST,HOUGANG,0,0,78048.9154301164,0,0,111441.856940972,0,105166.57029351,132812.39143151,0,0,0,0,0,0,382415.817835015,0,0,0,12367.7409823212,5151.13685584216,1149.98312047908,0,5176.25360727605,0,8936.96059052398,0,0,0,0,0,0,RESIDENTIAL
HOUGANG WEST,HOUGANG,0,0,108426.686255113,0,0,36191.5726856487,0,57798.3932982373,203990.347322866,0,0,0,2348.55357419207,9797.48924958285,0,768495.065921191,59502.3971357573,0,0,23301.7475674622,16284.7673296292,21675.6545877524,0,21063.3341506253,0,0,0,0,0,0,0,0,RESIDENTIAL
KANGKAR,HOUGANG,0,0,39732.0480521272,5965.31566340981,0,105577.217973288,0,23331.695313528,153345.896372908,0,0,0,0,3920.42672816467,0,615289.769680098,0,18036.6961052763,0,4088.94574451998,9983.36726900042,9032.99497118784,0,5765.56813243799,0,13340.0498801023,0,0,0,0,0,0,RESIDENTIAL
KOVAN,HOUGANG,0,0,57421.8782423969,1840.19707876142,0,6153.16050100401,0,25347.6251707732,425623.519059524,0,0,0,5784.2853043686,8938.84050635514,0,1275070.22807602,0,22452.013111717,0,25187.6074398862,0,4512.69621100346,0,58569.7139760418,0,31711.1624558355,0,0,0,0,0,0,RESIDENTIAL
LORONG AH SOO,HOUGANG,0,0,37701.6891873466,9123.33113459881,0,17164.6334630629,0,59696.5102314587,286085.599098695,0,3461.88427348781,0,1338.09380542796,0,0,923777.116273591,0,96866.7693518159,0,8950.09867037547,3588.16723370991,27591.4325556571,0,24389.684708489,0,15798.8225021942,0,0,0,0,0,0,RESIDENTIAL
LORONG HALUS,HOUGANG,0,913110.124213589,0,3542.24012553337,0,123519.598915007,0,62600.658123242,230760.364825612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
TAI SENG,HOUGANG,0,331117.736466521,91168.1801645371,34966.9382481971,0,26078.6917526312,0,26945.0094013436,409297.562555363,0,0,0,3117.32988242267,9062.04695100449,61020.6721944296,528591.219728918,0,12737.1275063259,0,0,0,1352.49610177317,0,149072.826942337,0,12000.217225124,42830.52738668,0,0,0,56700.3500534835,0,RESIDENTIAL
TRAFALGAR,HOUGANG,0,0,95715.726727234,8698.74865465435,0,22683.8662945113,0,37941.4635517901,356868.893393096,0,0,0,1289.42077673937,263408.594226876,0,823468.629768434,0,60623.5688362394,0,44440.2830982107,17536.4429500635,0,0,9691.60527029178,0,2008.88342493225,0,0,0,0,0,0,RESIDENTIAL
INTERNATIONAL BUSINESS PARK,JURONG EAST,0,0,0,0,0,29468.0972397709,0,9182.3248068803,127838.13063597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70386.7306059342,248145.416959768,0,BUSINESS PARK
JURONG GATEWAY,JURONG EAST,0,0,0,0,0,0,0,11831.1788323451,183341.97095898,56357.6972790577,64758.255394952,0,0,54099.1450029333,0,13537.5879081355,0,28263.6840375802,13697.2172071655,3623.77263680352,7351.93683968222,0,0,9951.0728792068,107810.156001093,0,0,0,0,0,0,0,ROAD
JURONG PORT,JURONG EAST,0,615686.979136366,0,105161.892899448,0,218353.257765339,1272659.1790381,0,252999.386207956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PORT / AIRPORT
JURONG RIVER,JURONG EAST,0,719735.398088763,0,3485.72280340581,0,392187.032216107,0,0,278404.48156029,0,0,0,0,0,232885.982087364,382796.01564599,0,0,0,98944.8134649607,0,0,0,452556.491262565,0,0,0,0,0,0,0,0,BUSINESS 2
LAKESIDE,JURONG EAST,0,0,0,9809.99373416843,0,623436.553673907,0,654915.220123723,241509.500774925,0,3766.08462570027,0,0,21167.859067976,0,44542.1630466106,448247.938727394,0,8240.64777865772,0,0,0,0,935176.720072914,0,0,0,117209.532428697,0,0,0,0,RESERVE SITE
PENJURU CRESCENT,JURONG EAST,0,2449786.97104937,0,14750.9207594422,0,274292.434054165,11848.7923557666,0,299040.969728296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
TEBAN GARDENS,JURONG EAST,0,0,43569.2358416006,6143.70795506792,0,1922074.39725242,0,275163.907933291,304434.528087075,0,0,0,0,0,133258.490408295,394286.436319221,0,26008.5612037148,0,5766.14898600974,43969.350059242,3404.53089829963,0,15526.8063296729,0,13977.9738397825,0,0,0,0,0,0,WATERBODY
TOH GUAN,JURONG EAST,0,0,17896.2842732599,9867.00594016201,0,48996.1201883135,0,26262.4024036217,158904.984746107,0,0,0,0,0,152349.974968045,261582.76749787,23176.5522423173,0,0,9836.14255894828,974.547001655903,552.894873163117,0,36482.6246604889,0,0,0,0,0,0,0,0,RESIDENTIAL
YUHUA EAST,JURONG EAST,0,0,75314.046296359,4526.61553122513,0,1765.04585383915,0,30376.959017686,186116.309250159,0,0,0,1795.97748130599,2023.96514555037,0,516614.996296258,0,45384.6387171763,0,4297.47118876263,20415.6137749673,11614.547045953,0,13415.3634184969,0,11100.9283660646,0,0,0,0,0,0,RESIDENTIAL
YUHUA WEST,JURONG EAST,0,0,43650.0050307384,6349.68211354348,0,7681.52302491316,0,18745.8826478055,149921.205032393,0,0,0,1800.93892700904,2444.53231383096,0,430087.340805989,41030.4644387112,43929.7964965096,0,3826.61078123698,4784.46914895787,3885.19951130077,0,13224.0549528163,0,4780.78658412464,0,0,0,0,0,0,RESIDENTIAL
BOON LAY PLACE,JURONG WEST,0,0,74656.6604929162,1070.52464647221,0,0,0,15231.2948085372,168237.115370367,0,0,0,4826.75319728789,0,0,538079.075822597,6993.52553841822,42008.9964937212,0,2953.40236801177,36674.5505581226,6083.80093700383,0,0,0,9501.69044568859,0,0,0,0,0,0,RESIDENTIAL
CHIN BEE,JURONG WEST,0,1033920.78818534,0,1519.97158308445,0,25079.78040751,0,0,208395.506845127,0,3931.55090414056,0,0,0,15102.2265912921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUSINESS 2
HONG KAH,JURONG WEST,0,0,241036.851288368,0,0,45791.3026085767,0,24779.1532993195,269740.028679522,0,0,0,3304.78582475523,3781.18523445525,0,1013758.93855944,0,89764.3229456969,0,14333.1879568348,30806.6676926681,21299.3154354782,0,23425.986903315,0,11641.9035248512,0,0,0,0,0,0,RESIDENTIAL
JURONG WEST CENTRAL,JURONG WEST,0,0,74522.7334880058,0,0,30885.1640018792,0,17074.4838679762,277259.586460609,0,21371.311793974,0,0,2487.61359820401,0,862146.871190007,0,73664.3340576781,7951.54098303518,10103.0835736434,21978.5033892917,0,0,2002.6203774726,0,3088.79607613524,0,0,0,0,0,0,RESIDENTIAL
KIAN TECK,JURONG WEST,0,1206684.0132732,0,21782.526357512,0,137251.481891441,0,79064.5399661183,399066.859506116,0,2409.19088509123,0,26646.9983185847,0,34139.8767046102,0,20124.3980169307,0,0,73472.283463054,0,0,0,97534.0137792484,0,0,0,0,0,0,0,0,BUSINESS 2
SAFTI,JURONG WEST,0,0,2.90121979380598,1073.16953897599,1410603.76896338,7155.02935036381,0,0,105715.957142604,0,0,0,0,0,0,0.057136407252734,0,0,0,0,0.448543138326259,0,0,0,0,0,0,0,0,0,0,0,SPECIAL USE
TAMAN JURONG,JURONG WEST,0,35360.2928343982,106795.756769596,263.422776999603,0,26758.5575128607,0,28049.8437333984,259251.511447594,0,4941.13726449951,0,2803.36562566172,4758.08440496495,66344.3337368061,828944.118260649,0,59135.104047392,8601.65860800873,3990.15273236744,9307.82956734558,1307.4662427958,0,24637.9298352057,0,13044.6316836524,0,0,0,0,0,0,RESIDENTIAL
WENYA,JURONG WEST,0,1132640.31559549,40877.7074072308,3302.81176543717,0,0,0,0,400899.155626029,0,0,0,49669.5491353768,0,0,101520.56385965,0,0,0,115828.836137135,7587.9547985907,0,0,113119.539481667,0,9496.81079690738,0,0,0,0,0,0,BUSINESS 2
YUNNAN,JURONG WEST,0,0,128463.003297412,11105.4269724279,2.18671099189788,28582.6467251984,0,29029.9486797528,438732.81356312,0,13899.3955020035,0,4334.2308913341,5236.08805941142,0,1381009.69010962,50615.2700080436,30124.9031863652,0,30393.1052279379,21262.5782178042,849.670536248841,0,14130.1158617208,0,17682.9710579942,0,0,0,0,0,0,RESIDENTIAL
BENDEMEER,KALLANG,0,0,89628.3620104028,2100.64376664567,0,89818.5000497832,0,18380.8767829995,287236.32903436,0,4493.00933768703,0,0,15924.1163722428,0,736338.568483026,21042.6538926685,14430.3461703382,0,13840.2570659214,17939.2855477011,42811.4608912335,0,0,0,22867.1331616078,0,0,0,0,0,0,RESIDENTIAL
BOON KENG,KALLANG,0,0,11522.3460804156,0,0,51902.0785181125,0,4274.54912319494,83840.3638526302,0,3945.10828053274,0,0,0,0,223980.801223934,0,0,7197.40049379343,7453.28751860201,11477.4809307601,4741.73909342751,0,0,0,659.536487601851,0,0,0,0,0,0,RESIDENTIAL
CRAWFORD,KALLANG,0,0,9103.7737393988,6101.62458482603,0,144457.686548854,0,83544.4792350338,225273.898067546,0,78275.4703420873,0,3937.85608142669,0,0,44994.5449354704,0,48736.4975510989,0,8514.41939531349,0,27326.4128903303,0,155487.890403592,0,1642.54128505845,0,13440.3866476692,0,0,0,0,ROAD
GEYLANG BAHRU,KALLANG,0,0,39401.8725052426,26119.0127249693,0,57448.1230108271,0,18836.4707939216,153262.554078949,0,15221.4935287978,0,0,4460.69006279999,0,341698.374338709,0,0,0,4350.3956242634,17189.6417956229,12518.4326520906,0,44995.1689119822,0,0,0,0,0,0,0,0,RESIDENTIAL
KALLANG BAHRU,KALLANG,0,0,0,4197.69803268273,0,49070.0836605521,0,0,170579.530353791,67897.8618151706,2630.74309399492,0,1841.06253119192,0,418582.278279653,37173.4504255967,0,0,0,2534.10283289075,12501.7702674378,0,0,70874.7323673186,0,1600.71903657257,0,0,0,0,0,0,BUSINESS 1
KAMPONG BUGIS,KALLANG,0,0,12415.897599618,5973.61132503915,0,119635.628258507,0,85346.5264943222,198198.033477978,0,56323.7043134582,0,0,0,0,101347.165624428,0,1960.94094244558,0,3998.37954907953,21618.0172188756,14106.963211291,0,1574.5166379775,70746.5973420988,722.004299383283,0,47470.074484337,0,0,0,0,ROAD
KAMPONG JAVA,KALLANG,0,0,34597.5175850391,18972.2460846137,0,0,0,6190.11084438752,302718.159567882,0,5264.32769242487,0,0,46977.89905112,0,436506.824493287,59323.5395404115,0,0,19833.5006881787,6126.12334602485,35566.3508589752,0,44327.063251344,0,5883.05760249422,0,0,0,0,0,0,RESIDENTIAL
LAVENDER,KALLANG,0,0,0,2577.7951438354,0,4592.36463641815,0,17985.1779911324,220533.539470655,0,123188.998714561,0,8515.29605420897,0,0,143474.484577076,28234.2180849354,14528.0578996111,0,51502.757013961,0.204546849112059,99239.1472954568,0,0,0,18307.4671127598,0,25207.6861115707,0,0,0,0,ROAD
TANJONG RHU,KALLANG,0,0,52118.8611119594,5035.21563951568,0,500476.608751676,0,11955.7068773997,460153.422469567,0,35511.241866593,0,3145.8833769214,0,0,513173.783694134,538954.188874835,0,0,11464.2044964426,98780.6576436225,6053.83090274348,0,185241.885884098,0,0,0,12528.4720808021,0,0,0,0,SPORTS & RECREATION
LIM CHU KANG,LIM CHU KANG,0,0,0,1362360.2049076,0.00251415765600878,1950304.63885861,0,2219349.90370632,783361.718450906,0,0,0,9064.16830385254,0,0,0,747472.74251678,0,0,6832.98998837336,3233350.35505703,0,0,1850963.03465601,0,0,0,0,0,0,0,5331823.75705227,AGRICULTURE
MANDAI EAST,MANDAI,0,0,0,10243.6624719492,6392234.5551682,0,0,0,258980.131555699,0,0,0,0,0,0,10.610100119015,574340.206822694,0,0,0,0,0.00125255826217514,0,0,0,0,0,0,0,0,0,0,SPECIAL USE
MANDAI ESTATE,MANDAI,0,0,0,0,0.630015499368074,0,0,1699.53287812178,33630.9329409823,0,0,0,0,0,0,96561.7532254627,0,0,0,0,0,11245.0937814418,0,0,0,0,0,0,0,0,0,0,RESIDENTIAL
MANDAI WEST,MANDAI,0,0,0,138594.75759892,0,879.766057299906,0,0,372621.24109141,0,0,0,335526.432439416,0,0,0,0,0,0,0,3269666.82704437,0,0,269844.093010619,0,0,0,0,0,0,0,0,OPEN SPACE
MARINA EAST,MARINA EAST,0,0,0,17177.6937414637,0,387000.284037236,0,402073.587796043,80205.1854265766,0,0,0,0,0,0,0,0,0,0,0,4686.25004065446,0,0,952917.651464329,0,0,0,0,0,0,0,0,RESERVE SITE
MARINA SOUTH,MARINA SOUTH,0,0,0,27676.8598186545,0,317278.628649557,0,525584.23322298,219435.347814123,0,0,0,0,0,0,0,0,0,0,0,46360.9874351145,73348.10071857,0,186375.558122254,234243.223904276,0,0,0,0,0,0,0,PARK
EAST COAST,MARINE PARADE,61715.2611624247,0,0,0,0,6279.39888646311,0,322065.458650274,95113.8536135366,0,0,0,0,0,0,0,106605.027419721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PARK
KATONG,MARINE PARADE,0,0,75205.7446592787,6537.00841063556,0,0,0,13152.8107980829,221070.159935443,0,47422.6856864891,0,3540.62506954347,4000.3717428661,0,628823.55698305,0,14430.6008375714,0,10021.2973403812,5336.87645665028,21139.3676508184,0,11120.8512276054,0,15808.741841622,0,1367.4740532096,0,0,0,0,RESIDENTIAL
MARINA EAST (MP),MARINE PARADE,10151.7444620857,0,0,0,0,0,0,323502.868804729,108716.64928626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147968.50327099,0,0,0,0,0,0,0,0,RESERVE SITE
MARINE PARADE,MARINE PARADE,0,0,62281.7572741996,5230.02963402612,0,6878.47909538961,0,14277.7206715148,281161.154724873,0,95826.3081377628,0,0,1042.48293043585,0,598955.813949486,18629.9692433979,14129.0685341787,0,8511.30586054799,0,4346.87471567798,0,20271.8727509033,0,1485.70518317784,0,26983.9295289176,0,0,0,0,RESIDENTIAL
MOUNTBATTEN,MARINE PARADE,0,0,71219.8894187305,2869.58750755157,0,24584.4626589232,0,51302.2228714714,341861.885565727,0,0,0,1548.90431021513,0,0,1152058.83629098,14041.4440958267,0,0,0,21616.7675599929,17309.0790308052,0,15179.9062589371,0,0,0,0,0,0,0,0,RESIDENTIAL
BRAS BASAH,MUSEUM,0,0,45370.0057405371,774.571871827302,0,0,0,0,75331.5831551656,0,18067.0247452939,0,0,0,0,0,0,0,0,36687.6641182712,17790.6492703242,0,0,0,0,24013.435157018,0,5171.6452420736,0,0,0,0,ROAD
DHOBY GHAUT,MUSEUM,0,0,10601.6972052032,0,0,0,0,12546.7679562428,75172.1546563266,0,75253.9124707687,0,0,0,0,8090.08786756949,0,24764.323079794,0,7405.84098585135,5026.90352406838,3111.46038692956,0,0,0,0.188673309192677,0,0,0,0,0,0,COMMERCIAL
FORT CANNING,MUSEUM,0,0,0,29389.3421737112,0,0,0,192546.620312994,59332.2212677267,0,9364.09339774466,0,0,0,0,11216.0944989703,0,3210.33407030229,0,25802.5208902436,9969.43150460718,2542.1824794331,0,33265.3338209566,0,8454.93903076555,0,0,0,0,0,0,PARK
CAIRNHILL,NEWTON,0,0,0,0,0,0,0,0,101680.015640694,0,837.501555752995,0,0,15202.4602365779,0,302100.07784719,0,0,0,9446.74222814503,4746.66322629471,0,0,12026.0083626108,0,1590.33616823942,0,4842.43535736739,0,0,0,0,RESIDENTIAL
GOODWOOD PARK,NEWTON,0,0,0,0,0,4964.37907429905,0,0,51848.0263995989,0,0,0,0,0,0,97457.3872522584,0,4146.49506227055,0,3683.73450611686,0,0,0,183358.00362797,0,3215.43512787735,0,2567.60450230453,0,0,0,0,RESERVE SITE
ISTANA NEGARA,NEWTON,0,0,0,24923.5809143911,0,0,0,0,49465.1677170911,0,0.0077576344064871,0,0,0,0,1219.68397826283,0,0,0,406158.876486784,0.000592082863081436,0,0,61716.3629056913,0,0,0,0,0,0,0,0,CIVIC & COMMUNITY INSTITUTION
MONK'S HILL,NEWTON,0,0,39109.750716293,1505.15407441416,0,0,0,0,34472.7693971594,0,0,0,3593.74135152552,0,0,59537.3170017918,0,0,0,0,28453.6537501883,0,0,5048.2342312574,0,0,0,0,0,0,0,0,RESIDENTIAL
NEWTON CIRCUS,NEWTON,0,0,0,0,0,1409.72224131235,0,0,60487.4651120941,0,12873.7953152999,0,0,0,0,9750.4602662972,0,0,0,8.3944325088565,0,0,0,121874.242049631,0,0,0,7175.5170247682,0,0,0,0,RESERVE SITE
ORANGE GROVE,NEWTON,0,0,40121.465401902,946.108327258623,0,0,0,0,64716.1302683677,0,933.283304744415,0,0,0,0,198105.373250528,28645.5111026456,0.00148944395041775,0,0,0,0,0,2752.05720121025,0,0,0,0.00693001396016642,0,0,0,0,RESIDENTIAL
NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,0,0,0,35904.8941734823,717249.205541205,792468.246795048,0,0,0,0,0,0,0,0,0,0,474550.709067716,0,0,0,24763099.7331874,0,0,39373768.2640206,0,0,0,0,0,0,0,1093521.67863508,RESERVE SITE
BALESTIER,NOVENA,0,0,85344.2659956877,1122.31648145088,0,80582.6554425314,0,29442.1534939167,463401.471819653,0,7221.20738953245,0,11104.9407622121,35696.0542493321,30586.9824778644,876954.419666345,13908.9260880391,104677.151204717,0,50132.0570574528,3291.95662332586,7843.51708899244,0,71857.0207184513,0,30923.4651967306,0,22529.8055263052,0,0,0,0,RESIDENTIAL
DUNEARN,NOVENA,0,0,0,0,0,18177.4012455635,0,7496.29966922924,293664.288983435,0,0,0,3729.65301222869,0,0,829677.246729224,17867.5753037239,0,0,15561.8031277571,0,0,27596.6897817397,15514.2624326438,0,568.34777855196,0,0,0,0,0,0,RESIDENTIAL
MALCOLM,NOVENA,0,0,204173.738290302,4721.20963927518,0,15029.8629831429,0,18175.9698564304,246025.437654858,0,0,0,22530.3225860752,3913.52193815283,0,771842.841866537,0,0,0,4177.38858256662,0,0,30452.5381600379,0,0,0,0,0,0,0,0,0,RESIDENTIAL
MOULMEIN,NOVENA,0,0,43499.097711266,19105.6208058849,0,8203.57045863241,0,12904.583744073,338572.13189411,0,67461.093064979,0,4338.67664223029,124312.7268401,0,658328.947770774,0,1468.04990750447,0,10180.0848973869,0,7806.25041300034,0,0,14515.6361875844,23757.9883696629,0,12961.6226971216,0,0,0,0,RESIDENTIAL
MOUNT PLEASANT,NOVENA,0,0,0,0,0,16398.7908854577,0,0,409257.695847066,0,0,0,5328.7768324923,0,0,1563139.34588254,91885.9538525085,0,0,69795.0088928285,0,0,900637.762627152,86506.7736594834,0,0,0,0,0,0,0,0,RESIDENTIAL
BOULEVARD,ORCHARD,0,0,0,0,0,0,0,0,132200.983728592,0,150500.124744744,0,0,0,0,34851.7744575546,0.00972847276111361,21345.6715857194,0,0,0,0,0,10170.6846638971,0,0,0,111646.176592225,0,0,0,0,COMMERCIAL
